Codi,Institució,Latitude,Longitude,Web,Ciutat,País,Continent o Zona (CALCULAT),Estudis Mobilitat,"Mobilitat 
estudiants","Mobilitat 
docent","Col. acadèmica 
o institucional","Estudis 
conjunts",Xarxes,Factsheet,Curs d'actualització Factsheet,Estudis insti,Video promocional,,,,,,,,,,,,,,,
D KOLN04,"Technische Hochschule Köln
",50.9214879,6.9634328,"http://www.fh-koeln.de/
",Köln,Alemanya,Europa,Comunicació Audiovisual; Enginyeria Sistemes Audiovisuals i Enginyeria de Xarxes de Telecomunicació,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Technische+Hochschule+K%C3%B6ln.pdf/759f2dad-7f64-4a9f-fb04-1940e92703be?t=1680603645319,2026-27,"Enginyeries
",,,,,,,,,,,,,,,,
D DRESDEN02,Technische Universität Dresden,51.0292734,13.7289964,http://tu-dresden.de/,Dresden,Alemanya,Europa,Màster i doctorat en Biologia,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Technische+Universit%C3%A4t+Dresden.pdf/14a75c2b-2ad4-4c75-4f09-f7e78f0b20ce?t=1680250010421,2025-26,Màster i doctorat en Biologia,,,,,,,,,,,,,,,,
D MUNCHEN02,Technische Universität München,48.14966,11.5678602,http://www.tum.de,München,Alemanya,Europa,"Enginyeries
",TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Technische+Universit%C3%A4t+M%C3%BCnchen_TUM.pdf/296e29b4-7587-2129-18cd-882fd5492600?t=1680600893859,"2026-27 (diverses factsheets, consulteu la que us correspongui)",Enginyeries,,,,,,,,,,,,,,,,
D AUGSBUR01,Universität Augsburg,48.3326315,10.8963989,http://www.aaa.uni-augsburg.de/,Augsburg,Alemanya,Europa,Comunicació Audiovisual; Publicitat i Relacions Públiques,FALSE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Universit%C3%A4t+Augsburg.pdf/d0b76db6-84d5-3736-ba7a-78b0788e4a41?t=1680259207169,2024-25,Comunicació Audiovisual,,,,,,,,,,,,,,,,
D BREMEN01,Universität Bremen,53.1067804,8.8520585,http://www.uni-bremen.de/,Bremen,Alemanya,Europa,Traducció i Interpretació; Humanitats,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Universit%C3%A4t+Bremen.pdf/f7327663-a1d5-3fae-7808-f8320f6b73e7?t=1680259779449,2025-26,Traducció i Interpretació,,,,,,,,,,,,,,,,
D HILDESH01,Universität Hildesheim,52.1333397,9.9733577,https://www.uni-hildesheim.de/,Hildesheim,Alemanya,Europa,Humanitats,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/University+of+Hildesheim_2021.pdf/7f490a32-3e8d-28e5-4fdb-bdbad1b02625?t=1680250742703,2025-26,Humanitats,https://youtu.be/Zp6XL4jf4cg,,,,,,,,,,,,,,,
D KONSTAN01,Universität Konstanz,47.689426,9.1868777,"http://www.uni-konstanz.de/
",Konstanz,Alemanya,Europa,Economia; Ciències Polítiques i Socials; incloent Grau FPE,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Universit%C3%A4t+Konstanz.pdf/d70344d1-3c8b-6920-ed58-9bbdae0c55f4?t=1680250333190,2026-27,Ciències Polítiques,https://youtu.be/FpmBYgqNizg,,,,,,,,,,,,,,,
D LEIPZIG01,Universität Leipzig,51.3385738,12.3784615,http://www.uni-leipzig.de/aaa,Leipzig,Alemanya,Europa,Traducció i Interpretació,TRUE,TRUE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Universit%C3%A4t+Leipzig.pdf/4087597c-826c-b283-31de-1561499f95e3,2026-27,Traducció i Interpretació,https://youtu.be/1DIwXd_SmVU,,,,,,,,,,,,,,,
D MANNHEI01,Universität Mannheim,49.4837106,8.4622333,http://www.uni-mannheim.de/aaa/,Mannheim,Alemanya,Europa,"Ciències Econòmiques i Empresarials; Dret i Dret-Eco/Ade
",TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Universitat+Mannheim.pdf/ad252477-7c02-abe2-7c83-f706a50186af?t=1679649544102,2026-27,"Ciències Econòmiques i Empresarials; Dret; Certificat de Postgrau CIEL (Certificate in Comparative, International and European Law)
",,,,,,,,,,,,,,,,
D POTSDAM01,Universität Potsdam,52.4010314,13.0119098,http://www.uni-potsdam.de/en/university-of-potsdam.html,Potsdam,Alemanya,Europa,Llengües Aplicades,TRUE,TRUE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Universit%C3%A4t+Potsdam.pdf/8df75e79-00cb-cd80-f5a9-b0852dd3d5b2?t=1680604316554,2026-27,Traducció i Interpretació,,,,,,,,,,,,,,,,
